title,developers,publishers,release_date,platforms,genres,score,reviewed_by
Grime ,Clover Bite,Akupara Games,2021-08-02,"PC,  Stadia","Action,  Adventure,  RPG,  Platformer",9,David Wildgoose
Tribes of Midgard ,Norsfell,Gearbox Software,2021-07-27,"PlayStation 4,  PlayStation 5,  PC","Action,  RPG",7,Leana Hafer
Crowfall ,,,,PC,"RPG,  Persistent Online",5,Gabriel Moss
Pan Am Board Game ,,Funko Games,2020-09-30,Tabletop,Board,8,Matt Thrower
Boomerang X ,Dang!,Devolver Digital,2021-07-08,"PC,  Nintendo Switch","Shooter,  First-Person",8,Seth G. Macy
Pokemon Unite ,"The Pokemon Company,  Timi Studio",The Pokemon Company,2021-07-21,"Nintendo Switch,  Android,  iPhone","RPG,  Strategy,  MOBA (Multiplayer Online Battle Arena),  Free-to-Play",6,Sam Stewart
Eldest Souls ,Fallen Flag Studio,United Label,2021-07-29,"Nintendo Switch,  PC,  PlayStation 5,  PlayStation 4,  Xbox One,  Xbox Series X|S","Action,  Platformer",8,Joseph Knoop
The Ascent ,Neon Giant,Curve Digital,2021-07-29,"Xbox Series X|S,  Xbox One,  PC","Sci-Fi,  Action,  RPG,  Shooter",7,Ryan McCaffrey
Observer: System Redux ,Bloober Team,Bloober Team,2020-11-10,"Xbox Series X|S,  PC,  PlayStation 5,  Luna,  PlayStation 4,  Xbox One",Adventure,8,Sarah LeBoeuf
The Forgotten City ,Modern Storyteller,Plug In Digital Label,2021-07-28,"PC,  PlayStation 5,  Xbox Series X|S,  Xbox One,  PlayStation 4,  Nintendo Switch",Adventure,9,Gabriel Moss
Samurai Warriors 5 ,Omega Force,Koei Tecmo,2021-07-26,"Xbox One,  PlayStation 4,  Nintendo Switch,  PC",Action,7,Alex Santa Maria
NEO: The World Ends With You ,,Square Enix,2021-07-27,"Nintendo Switch,  PlayStation 4,  PC","Action,  RPG",7,Rebekah Valentine
Cris Tales ,"Dreams Uncorporated,  SYCK",Modus Games,2021-07-20,"Xbox Series X|S,  PlayStation 5,  Stadia,  Xbox One,  PlayStation 4,  Nintendo Switch,  PC",RPG,7,Travis Northup
Gloomhaven: Jaws of the Lion ,,Cephalofair Games,2021-08-04,Tabletop,"RPG,  Board",9,Matt Thrower
Last Stop ,Variable State,Annapurna Interactive,2021-07-22,"PlayStation 5,  PlayStation 4,  PC,  Xbox One,  Nintendo Switch,  Xbox Series X|S",Adventure,6,Tristan Ogilvie
Death's Door ,Acid Nerve,Devolver Digital,2021-07-20,"Xbox One,  PC,  Xbox Series X|S,  PlayStation 4,  PlayStation 5","Action,  RPG",9,Brendan Graeber
"Warhammer 40,000: Battlesector ",Black Lab Games,Slitherine Software,2021-07-15,PC,Strategy,8,Jon Bolding
Wildermyth ,Worldwalker Games,"WhisperGames, Worldwalker Games",2021-06-15,PC,RPG,9,Rowan Kaiser 
The Legend of Zelda: Skyward Sword HD ,"Nintendo Entertainment Analysis & Development,  Tantalus",Nintendo,2021-07-16,Nintendo Switch,"Action,  Adventure",8,Travis Northup
Warhammer Age of Sigmar: Dominion ,,Games Workshop,2021-07-02,Tabletop,"RPG,  Board",8,Matt Thrower
Old World ,Mohawk Games,Mohawk Games,2020-05-05,PC,"Strategy,  4X",8,Leana Hafer
Roguebook ,Abrakam,Nacon,2021-06-24,"PC,  Nintendo Switch,  PlayStation 5,  Xbox Series X|S,  PlayStation 4,  Xbox One","RPG,  Card,  Roguelike / Rogue-Lite",7,Cam Shea
Sniper Elite VR ,"Just Add Water Developments,  Coatsink Software",Rebellion,2021-07-08,"PC,  Oculus Quest,  PlayStation 4",Shooter,6,Gabriel Moss
F1 2021 ,Codemasters,Electronic Arts,2021-07-16,"PlayStation 5,  PlayStation 4,  Xbox Series X|S,  Xbox One,  PC",Racing,8,Luke Reilly
Monster Hunter Stories 2: Wings of Ruin ,Capcom,Capcom,2021-07-09,"PC,  Nintendo Switch","Adventure,  RPG",8,Casey DeFreitas
Mass Effect Legendary Edition  Part 2: Mass Effect 2,BioWare,Electronic Arts,2021-05-14,"Xbox One,  PlayStation 4,  PC","Compilation,  RPG",9,Dan Stapleton
